Frequency,Impedance
150000,2129.70561
154500,624.3176196
159000,2062.122735
163500,2380.054126
168000,2150.91207
172500,1973.230526
177000,3846.836786
181500,2175.089667
186000,1852.015333
190500,2128.578485
195000,2023.088691
199500,1180.06729
204000,1258.486448
208500,1060.028746
213000,1555.279502
217500,1430.652505
222000,1075.58034
226500,1406.728476
231000,1329.403413
235500,1244.590092
240000,1070.4055
244500,418.1493156
249000,929.9207411
253500,995.4702173
258000,962.9929169
262500,866.2954025
267000,1079.869623
271500,1110.730807
276000,809.985735
280500,1022.489849
285000,1035.13246
289500,880.3332296
294000,946.0081828
298500,808.3882527
303000,701.7449468
307500,1069.45305
312000,889.6405592
316500,678.6331523
321000,802.6919017
325500,807.2603403
330000,755.7224188
334500,596.1559706
339000,356.0315056
343500,774.5864837
348000,796.5575463
352500,751.379559
357000,306.5509093
361500,486.8211014
366000,579.0164802
370500,660.817708
375000,866.8581388
379500,696.5539633
384000,985.9878254
388500,948.5664567
393000,612.0808957
397500,722.0078474
402000,402.5343543
406500,287.8546924
411000,417.4780236
415500,549.3098977
420000,444.9895463
424500,652.6884722
429000,606.4326733
433500,628.9862423
438000,423.6305656
442500,557.8736047
447000,579.4355275
451500,537.4603724
456000,350.437891
460500,289.4814906
465000,748.0863429
469500,458.7668894
474000,518.4321636
478500,495.8310289
483000,146.50981
487500,322.1973305
492000,408.1274417
496500,381.7566639
501000,1271.751893
505500,1115.757859
510000,887.5063393
514500,1323.021301
519000,1029.590261
523500,465.2828271
528000,599.4120375
532500,1177.539595
537000,577.8474742
541500,1228.789546
546000,667.7552551
550500,301.92465
555000,929.9011476
559500,969.7383992
564000,540.342119
568500,298.8285348
573000,825.3862529
577500,994.0267279
582000,824.6607583
586500,861.851488
591000,847.0254745
595500,852.7031207
600000,640.2062848
604500,544.2129711
609000,360.9522827
613500,894.0421994
618000,772.9899089
622500,833.3216386
627000,740.368427
631500,469.2231316
636000,474.6546724
640500,492.159116
645000,649.8476237
649500,822.9953284
654000,521.0810593
658500,583.1793675
663000,500.8912197
667500,563.109917
672000,732.4538139
676500,391.0200616
681000,659.3048494
685500,536.4818244
690000,667.2209454
694500,587.9577118
699000,792.6667003
703500,663.7846889
708000,579.6589512
712500,343.5001434
717000,474.4370027
721500,395.6737429
726000,680.7541279
730500,898.612019
735000,496.5117577
739500,322.5860617
744000,297.3898941
748500,476.048714
753000,636.6018486
757500,468.4019124
762000,470.723127
766500,713.2186618
771000,451.7790144
775500,295.8318629
780000,557.4475155
784500,417.2988328
789000,364.7121454
793500,579.9129828
798000,436.0420379
802500,401.4335136
807000,540.6323905
811500,501.2282996
816000,408.372461
820500,393.7885037
825000,572.2921927
829500,476.1058264
834000,496.8987163
838500,478.4793789
843000,475.2472471
847500,485.2601918
852000,441.2850338
856500,420.923248
861000,279.629021
865500,333.9813783
870000,340.1208009
874500,454.9589162
879000,468.6304335
883500,311.018613
888000,385.1129305
892500,443.0555121
897000,306.6609939
901500,437.6701043
906000,475.6361686
910500,400.0548256
915000,321.1310187
919500,373.8826996
924000,440.1948198
928500,390.7770634
933000,407.7772167
937500,319.1510157
942000,295.0665758
946500,247.9047365
951000,412.3656533
955500,353.8772617
960000,385.408209
964500,289.8399616
969000,287.8250448
973500,318.7273744
978000,380.0596545
982500,319.3708418
987000,300.9367502
991500,345.3542576
996000,360.1060638
1000500,259.3817341
1005000,343.4746899
1009500,382.7730885
1014000,276.3356529
1018500,388.6578498
1023000,242.1003331
1027500,359.7296346
1032000,370.9104723
1036500,197.9570715
1041000,359.6198587
1045500,240.7195987
1050000,255.6819422
1054500,262.9707536
1059000,334.4905689
1063500,343.0591418
1068000,229.3327857
1072500,230.3528391
1077000,285.1055919
1081500,225.5464395
1086000,279.0109974
1090500,301.7182582
1095000,259.257976
1099500,213.8219962
1104000,226.4978606
1108500,255.5676481
1113000,340.1730852
1117500,241.0262751
1122000,181.2070127
1126500,324.919169
1131000,292.6249242
1135500,260.5651753
1140000,295.9509416
1144500,298.6123352
1149000,247.8976181
1153500,246.4677717
1158000,223.9956448
1162500,239.8738142
1167000,319.5401199
1171500,284.9156073
1176000,278.5404403
1180500,233.7949259
1185000,223.3390873
1189500,275.5314685
1194000,219.3119383
1198500,295.3306108
1203000,267.7683968
1207500,285.7560203
1212000,106.556149
1216500,267.3394123
1221000,234.7667621
1225500,201.8535412
1230000,237.711703
1234500,204.8727649
1239000,211.3356894
1243500,250.2136438
1248000,246.9240329
1252500,254.4841154
1257000,223.8826797
1261500,193.0921816
1266000,177.4142458
1270500,220.7471233
1275000,239.6329162
1279500,176.182698
1284000,229.000791
1288500,246.875307
1293000,135.3262142
1297500,249.4241505
1302000,205.3499662
1306500,219.1369153
1311000,248.1464049
1315500,148.9375755
1320000,233.171265
1324500,243.4547822
1329000,156.2694066
1333500,237.0820259
1338000,233.4010042
1342500,208.657558
1347000,223.9710128
1351500,230.2174306
1356000,160.9547799
1360500,225.4060477
1365000,209.2969287
1369500,191.3926606
1374000,223.5762774
1378500,211.058979
1383000,142.2985513
1387500,215.1089122
1392000,163.0762881
1396500,221.3344814
1401000,192.7034403
1405500,176.5704195
1410000,219.5401988
1414500,214.0960162
1419000,180.9807105
1423500,172.3113569
1428000,196.5723846
1432500,152.5267443
1437000,151.3083769
1441500,211.6795221
1446000,187.8870393
1450500,141.6515605
1455000,176.3761466
1459500,115.9487427
1464000,134.2181293
1468500,181.7490635
1473000,126.3274647
1477500,149.4957789
1482000,166.1649887
1486500,181.3984307
1491000,182.0297828
1495500,153.9427072
1500000,71.52350814
1504500,171.2774035
1509000,185.4622885
1513500,157.7063622
1518000,169.3923955
1522500,158.1530926
1527000,88.97048307
1531500,158.5252577
1536000,146.5852957
1540500,165.427661
1545000,160.9941668
1549500,119.1285388
1554000,161.801072
1558500,126.0202123
1563000,167.420525
1567500,112.230188
1572000,101.6688149
1576500,153.5320684
1581000,165.0243573
1585500,95.67657891
1590000,145.048978
1594500,145.2320826
1599000,126.5905967
1603500,139.4640359
1608000,144.811814
1612500,155.540265
1617000,133.9482658
1621500,117.1023481
1626000,20.16019907
1630500,144.4404716
1635000,145.429581
1639500,122.8507906
1644000,150.4773966
1648500,119.0216818
1653000,142.7688348
1657500,126.315457
1662000,127.2829147
1666500,72.31674562
1671000,118.417334
1675500,60.73531548
1680000,127.9039409
1684500,116.479619
1689000,134.882027
1693500,117.3474336
1698000,119.8971414
1702500,85.09632208
1707000,117.7598798
1711500,126.4830876
1716000,132.5043097
1720500,119.843619
1725000,131.5371787
1729500,115.553904
1734000,66.34458389
1738500,109.5276027
1743000,122.9138381
1747500,114.7126093
1752000,87.8071391
1756500,87.15467744
1761000,64.01025087
1765500,12.04025527
1770000,95.13339241
1774500,102.2123051
1779000,63.81505483
1783500,53.98596475
1788000,107.890818
1792500,112.2061318
1797000,20.67344474
1801500,98.46077036
1806000,93.82938066
1810500,76.47773107
1815000,105.8015481
1819500,108.0875573
1824000,99.6827739
1828500,104.3983585
1833000,100.5070181
1837500,84.74906018
1842000,33.10545222
1846500,108.5615997
1851000,63.39004699
1855500,105.8076385
1860000,85.38377594
1864500,46.9776846
1869000,93.05015441
1873500,88.76422886
1878000,89.83188447
1882500,88.51611739
1887000,87.4716086
1891500,88.07790362
1896000,58.97594767
1900500,78.7979486
1905000,39.64720876
1909500,88.18152421
1914000,93.58443611
1918500,94.47714982
1923000,73.79918021
1927500,80.93699493
1932000,80.57193621
1936500,75.96033587
1941000,40.50019673
1945500,82.50610569
1950000,72.284571
1954500,45.24282672
1959000,56.96593945
1963500,73.39141532
1968000,73.45096958
1972500,74.42181425
1977000,72.21446094
1981500,47.2970286
1986000,67.66994553
1990500,75.28180275
1995000,74.76630237
1999500,74.69703145
2004000,72.96227949
2008500,67.77041636
2013000,67.03109546
2017500,69.1351875
2022000,42.84597173
2026500,16.25781731
2031000,57.66877135
2035500,41.83454965
2040000,40.72489449
2044500,69.25199591
2049000,69.49842075
2053500,40.84809359
2058000,60.02512646
2062500,58.44322735
2067000,48.13599922
2071500,59.16997626
2076000,50.67905633
2080500,49.13050938
2085000,60.54418345
2089500,52.44971119
2094000,32.89687346
2098500,39.45952765
2103000,53.29124742
2107500,55.72710104
2112000,46.91691259
2116500,40.72114538
2121000,47.69356571
2125500,49.13666186
2130000,53.72735747
2134500,50.25246282
2139000,43.72106264
2143500,38.83978767
2148000,51.96727578
2152500,48.58914597
2157000,20.02416307
2161500,37.38217564
2166000,46.65559122
2170500,46.55941353
2175000,27.62346621
2179500,42.04338505
2184000,45.81275558
2188500,40.51732359
2193000,28.78871005
2197500,39.38517636
2202000,31.71021648
2206500,39.62313348
2211000,42.18762331
2215500,47.88610331
2220000,35.71682648
2224500,23.18412316
2229000,15.59733389
2233500,34.96524976
2238000,32.27087697
2242500,34.45640572
2247000,25.23551206
2251500,27.16318135
2256000,37.27587457
2260500,32.0565119
2265000,30.93720949
2269500,31.00444563
2274000,19.72037321
2278500,27.38544625
2283000,28.89412661
2287500,28.33798964
2292000,21.24340126
2296500,11.13644657
2301000,31.87885222
2305500,29.93302498
2310000,17.40599104
2314500,25.39187668
2319000,26.85446646
2323500,17.96628817
2328000,23.69540326
2332500,26.85922124
2337000,27.32713573
2341500,26.86414997
2346000,22.62551119
2350500,18.37196705
2355000,19.91256151
2359500,16.46653583
2364000,10.99023636
2368500,19.77039914
2373000,23.47531823
2377500,20.25477183
2382000,7.921516138
2386500,15.09574188
2391000,19.65853156
2395500,20.72091605
2400000,19.07669046
2404500,17.3760065
2409000,17.32028617
2413500,17.35166882
2418000,13.24579574
2422500,17.25510984
2427000,18.52142268
2431500,15.58337717
2436000,91.77336333
2440500,15.7574905
2445000,15.57596801
2449500,13.25120829
2454000,7.747972174
2458500,16.29825321
2463000,14.37675373
2467500,12.53423275
2472000,11.8222923
2476500,9.803653477
2481000,12.05671389
2485500,12.49516084
2490000,27.69064522
2494500,13.16760844
2499000,11.17328566
2503500,11.47914984
2508000,12.16024786
2512500,23.67079807
2517000,8.235553426
2521500,11.42873934
2526000,20.45236939
2530500,8.47195912
2535000,10.22313481
2539500,6.070955802
2544000,11.56313909
2548500,6.114559272
2553000,7.334572787
2557500,10.38000492
2562000,96.34684563
2566500,5.967508367
2571000,10.6234117
2575500,6.312335884
2580000,5.725538535
2584500,7.231779129
2589000,9.011607987
2593500,12.93695763
2598000,30.11736568
2602500,7.524085905
2607000,6.617832197
2611500,5.444642815
2616000,25.1449626
2620500,11.21707367
2625000,15.34367475
2629500,6.518305676
2634000,8.176680214
2638500,5.875685858
2643000,5.845978822
2647500,5.135374612
2652000,8.806735779
2656500,4.020097241
2661000,8.2695739
2665500,4.679609524
2670000,7.482849259
2674500,5.819357741
2679000,5.663340963
2683500,4.914573735
2688000,8.790734131
2692500,1.821542093
2697000,44.65070291
2701500,5.75251536
2706000,155.195169
2710500,9.329797424
2715000,7.04180213
2719500,11.72731708
2724000,9.017670329
2728500,1.806166178
2733000,8.10369033
2737500,7.191422607
2742000,10.01960964
2746500,25.40197866
2751000,38.4880227
2755500,13.92786215
2760000,13.62892254
2764500,12.12829109
2769000,13.5184702
2773500,18.12298058
2778000,49.3731981
2782500,23.8041884
2787000,8.357732926
2791500,18.86560247
2796000,48.31642242
2800500,13.09171863
2805000,12.71111778
2809500,10.25232345
2814000,9.990905987
2818500,8.827746631
2823000,15.92390217
2827500,17.75679749
2832000,13.90380991
2836500,24.06325719
2841000,11.17632664
2845500,12.90932894
2850000,11.48790941
2854500,15.10940604
2859000,17.22156007
2863500,7.483235802
2868000,17.07024328
2872500,21.07360086
2877000,19.47350535
2881500,22.82837383
2886000,19.54817259
2890500,32.75539221
2895000,20.63501042
2899500,19.03649646
2904000,15.10631836
2908500,20.76933888
2913000,25.28724013
2917500,17.97903067
2922000,72.92206286
2926500,18.81476167
2931000,18.4689209
2935500,22.5544511
2940000,17.80655439
2944500,25.33915966
2949000,68.05247663
2953500,28.17721394
2958000,24.21514223
2962500,18.75327262
2967000,24.54471623
2971500,36.17142136
2976000,14.33858678
2980500,13.40808248
2985000,128.2736613
2989500,24.17202902
2994000,31.83858572
2998500,20.70744234
3003000,24.76669423
3007500,18.43849929
